train_losses,valid_losses,mean_ap
1.8826647032590658,1.173516274690628,0.017438070904023308
1.528064290027267,1.173516274690628,0.017438070904023308
1.3200863103168203,0.8142342384308576,0.08184560907251942
1.2192252065578095,0.8142342384308576,0.08184560907251942
1.154050114430003,0.6546151896417141,0.12296377846555924
1.113753100024278,0.6546151896417141,0.12296377846555924
1.0611831210517513,0.5618789835025867,0.15316052479100056
0.9929268888543811,0.5618789835025867,0.15316052479100056
0.9453720224932718,0.5834981017609437,0.15410820264424294
0.8953131750645161,0.5834981017609437,0.15410820264424294
0.8565017771189012,0.4976685823947191,0.16444734860040341
0.818191611223378,0.4976685823947191,0.16444734860040341
0.8027359803941617,0.5192226104537646,0.17314748980933753
0.7628670448706523,0.5192226104537646,0.17314748980933753
0.7311363028277481,0.4644539964174231,0.18391221281296552
0.6930800676345825,0.4644539964174231,0.18391221281296552
